query	KEGG_Pathway
Cvig_XP_022286201.1	map01100
Cvig_XP_022286201.1	map01110
Cvig_XP_022286201.1	map01120
Cvig_XP_022286201.1	map01130
Cvig_XP_022286201.1	map01200
Cvig_XP_022286201.1	map01220
Cvig_XP_022286201.1	map04111
Cvig_XP_022286211.1	ko03440
Cvig_XP_022286211.1	ko03460
Cvig_XP_022286211.1	map03440
Cvig_XP_022286211.1	map03460
Cvig_XP_022286213.1	ko03440
Cvig_XP_022286213.1	ko03460
Cvig_XP_022286213.1	map03440
Cvig_XP_022286213.1	map03460
Cvig_XP_022286231.1	ko03040
Cvig_XP_022286231.1	map03040
Cvig_XP_022286232.1	ko03040
Cvig_XP_022286232.1	map03040
Cvig_XP_022286237.1	ko00010
Cvig_XP_022286237.1	ko00710
Cvig_XP_022286237.1	ko01100
Cvig_XP_022286237.1	ko01110
Cvig_XP_022286237.1	ko01120
Cvig_XP_022286237.1	ko01130
Cvig_XP_022286237.1	ko01200
Cvig_XP_022286237.1	ko01230
Cvig_XP_022286237.1	ko04066
Cvig_XP_022286237.1	ko05010
Cvig_XP_022286237.1	map00010
Cvig_XP_022286237.1	map00710
Cvig_XP_022286237.1	map01100
Cvig_XP_022286237.1	map01110
Cvig_XP_022286237.1	map01120
Cvig_XP_022286237.1	map01130
Cvig_XP_022286237.1	map01200
Cvig_XP_022286237.1	map01230
Cvig_XP_022286237.1	map04066
Cvig_XP_022286237.1	map05010
Cvig_XP_022286247.1	ko00920
Cvig_XP_022286247.1	ko01100
Cvig_XP_022286247.1	ko01120
Cvig_XP_022286247.1	map00920
Cvig_XP_022286247.1	map01100
Cvig_XP_022286247.1	map01120
Cvig_XP_022286248.1	ko00920
Cvig_XP_022286248.1	ko01100
Cvig_XP_022286248.1	ko01120
Cvig_XP_022286248.1	map00920
Cvig_XP_022286248.1	map01100
Cvig_XP_022286248.1	map01120
Cvig_XP_022286250.1	ko00230
Cvig_XP_022286250.1	ko04934
Cvig_XP_022286250.1	ko05032
Cvig_XP_022286250.1	map00230
Cvig_XP_022286250.1	map04934
Cvig_XP_022286250.1	map05032
Cvig_XP_022286254.1	ko04015
Cvig_XP_022286254.1	map04015
Cvig_XP_022286255.1	ko04015
Cvig_XP_022286255.1	map04015
Cvig_XP_022286256.1	ko04015
Cvig_XP_022286256.1	map04015
Cvig_XP_022286257.1	ko04015
Cvig_XP_022286257.1	map04015
Cvig_XP_022286258.1	ko04015
Cvig_XP_022286258.1	map04015
Cvig_XP_022286259.1	ko00230
Cvig_XP_022286259.1	ko04934
Cvig_XP_022286259.1	ko05032
Cvig_XP_022286259.1	map00230
Cvig_XP_022286259.1	map04934
Cvig_XP_022286259.1	map05032
Cvig_XP_022286260.1	ko04015
Cvig_XP_022286260.1	map04015
Cvig_XP_022286261.1	ko04015
Cvig_XP_022286261.1	map04015
Cvig_XP_022286262.1	ko04015
Cvig_XP_022286262.1	map04015
Cvig_XP_022286263.1	ko04015
Cvig_XP_022286263.1	map04015
Cvig_XP_022286264.1	ko04015
Cvig_XP_022286264.1	map04015
Cvig_XP_022286265.1	ko04015
Cvig_XP_022286265.1	map04015
Cvig_XP_022286266.1	ko04015
Cvig_XP_022286266.1	map04015
Cvig_XP_022286267.1	ko04015
Cvig_XP_022286267.1	map04015
Cvig_XP_022286268.1	ko04015
Cvig_XP_022286268.1	map04015
Cvig_XP_022286269.1	ko04015
Cvig_XP_022286269.1	map04015
Cvig_XP_022286270.1	ko04015
Cvig_XP_022286270.1	map04015
Cvig_XP_022286271.1	ko04015
Cvig_XP_022286271.1	map04015
Cvig_XP_022286272.1	ko04015
Cvig_XP_022286272.1	map04015
Cvig_XP_022286280.1	ko00061
Cvig_XP_022286280.1	ko01100
Cvig_XP_022286280.1	ko01212
Cvig_XP_022286280.1	ko04152
Cvig_XP_022286280.1	ko04910
Cvig_XP_022286280.1	map00061
Cvig_XP_022286280.1	map01100
Cvig_XP_022286280.1	map01212
Cvig_XP_022286280.1	map04152
Cvig_XP_022286280.1	map04910
Cvig_XP_022286281.1	ko04745
Cvig_XP_022286281.1	map04745
Cvig_XP_022286284.1	ko04020
Cvig_XP_022286284.1	ko04022
Cvig_XP_022286284.1	ko04024
Cvig_XP_022286284.1	ko04080
Cvig_XP_022286284.1	ko04261
Cvig_XP_022286284.1	ko04540
Cvig_XP_022286284.1	ko04726
Cvig_XP_022286284.1	ko04728
Cvig_XP_022286284.1	ko04923
Cvig_XP_022286284.1	ko04924
Cvig_XP_022286284.1	ko04970
Cvig_XP_022286284.1	ko05012
Cvig_XP_022286284.1	ko05030
Cvig_XP_022286284.1	ko05031
Cvig_XP_022286284.1	ko05032
Cvig_XP_022286284.1	ko05034
Cvig_XP_022286284.1	map04020
Cvig_XP_022286284.1	map04022
Cvig_XP_022286284.1	map04024
Cvig_XP_022286284.1	map04080
Cvig_XP_022286284.1	map04261
Cvig_XP_022286284.1	map04540
Cvig_XP_022286284.1	map04726
Cvig_XP_022286284.1	map04728
Cvig_XP_022286284.1	map04923
Cvig_XP_022286284.1	map04924
Cvig_XP_022286284.1	map04970
Cvig_XP_022286284.1	map05012
Cvig_XP_022286284.1	map05030
Cvig_XP_022286284.1	map05031
Cvig_XP_022286284.1	map05032
Cvig_XP_022286284.1	map05034
Cvig_XP_022286285.1	ko04020
Cvig_XP_022286285.1	ko04022
Cvig_XP_022286285.1	ko04024
Cvig_XP_022286285.1	ko04080
Cvig_XP_022286285.1	ko04261
Cvig_XP_022286285.1	ko04540
Cvig_XP_022286285.1	ko04726
Cvig_XP_022286285.1	ko04728
Cvig_XP_022286285.1	ko04923
Cvig_XP_022286285.1	ko04924
Cvig_XP_022286285.1	ko04970
Cvig_XP_022286285.1	ko05012
Cvig_XP_022286285.1	ko05030
Cvig_XP_022286285.1	ko05031
Cvig_XP_022286285.1	ko05032
Cvig_XP_022286285.1	ko05034
Cvig_XP_022286285.1	map04020
Cvig_XP_022286285.1	map04022
Cvig_XP_022286285.1	map04024
Cvig_XP_022286285.1	map04080
Cvig_XP_022286285.1	map04261
Cvig_XP_022286285.1	map04540
Cvig_XP_022286285.1	map04726
Cvig_XP_022286285.1	map04728
Cvig_XP_022286285.1	map04923
Cvig_XP_022286285.1	map04924
Cvig_XP_022286285.1	map04970
Cvig_XP_022286285.1	map05012
Cvig_XP_022286285.1	map05030
Cvig_XP_022286285.1	map05031
Cvig_XP_022286285.1	map05032
Cvig_XP_022286285.1	map05034
Cvig_XP_022286287.1	ko04020
Cvig_XP_022286287.1	ko04022
Cvig_XP_022286287.1	ko04024
Cvig_XP_022286287.1	ko04080
Cvig_XP_022286287.1	ko04261
Cvig_XP_022286287.1	ko04540
Cvig_XP_022286287.1	ko04726
Cvig_XP_022286287.1	ko04728
Cvig_XP_022286287.1	ko04923
Cvig_XP_022286287.1	ko04924
Cvig_XP_022286287.1	ko04970
Cvig_XP_022286287.1	ko05012
Cvig_XP_022286287.1	ko05030
Cvig_XP_022286287.1	ko05031
Cvig_XP_022286287.1	ko05032
Cvig_XP_022286287.1	ko05034
Cvig_XP_022286287.1	map04020
Cvig_XP_022286287.1	map04022
Cvig_XP_022286287.1	map04024
Cvig_XP_022286287.1	map04080
Cvig_XP_022286287.1	map04261
Cvig_XP_022286287.1	map04540
Cvig_XP_022286287.1	map04726
Cvig_XP_022286287.1	map04728
Cvig_XP_022286287.1	map04923
Cvig_XP_022286287.1	map04924
Cvig_XP_022286287.1	map04970
Cvig_XP_022286287.1	map05012
Cvig_XP_022286287.1	map05030
Cvig_XP_022286287.1	map05031
Cvig_XP_022286287.1	map05032
Cvig_XP_022286287.1	map05034
Cvig_XP_022286288.1	ko04020
Cvig_XP_022286288.1	ko04022
Cvig_XP_022286288.1	ko04024
Cvig_XP_022286288.1	ko04080
Cvig_XP_022286288.1	ko04261
Cvig_XP_022286288.1	ko04540
Cvig_XP_022286288.1	ko04726
Cvig_XP_022286288.1	ko04728
Cvig_XP_022286288.1	ko04923
Cvig_XP_022286288.1	ko04924
Cvig_XP_022286288.1	ko04970
Cvig_XP_022286288.1	ko05012
Cvig_XP_022286288.1	ko05030
Cvig_XP_022286288.1	ko05031
Cvig_XP_022286288.1	ko05032
Cvig_XP_022286288.1	ko05034
Cvig_XP_022286288.1	map04020
Cvig_XP_022286288.1	map04022
Cvig_XP_022286288.1	map04024
Cvig_XP_022286288.1	map04080
Cvig_XP_022286288.1	map04261
Cvig_XP_022286288.1	map04540
Cvig_XP_022286288.1	map04726
Cvig_XP_022286288.1	map04728
Cvig_XP_022286288.1	map04923
Cvig_XP_022286288.1	map04924
Cvig_XP_022286288.1	map04970
Cvig_XP_022286288.1	map05012
Cvig_XP_022286288.1	map05030
Cvig_XP_022286288.1	map05031
Cvig_XP_022286288.1	map05032
Cvig_XP_022286288.1	map05034
Cvig_XP_022286289.1	ko04020
Cvig_XP_022286289.1	ko04022
Cvig_XP_022286289.1	ko04024
Cvig_XP_022286289.1	ko04080
Cvig_XP_022286289.1	ko04261
Cvig_XP_022286289.1	ko04540
Cvig_XP_022286289.1	ko04726
Cvig_XP_022286289.1	ko04728
Cvig_XP_022286289.1	ko04923
Cvig_XP_022286289.1	ko04924
Cvig_XP_022286289.1	ko04970
Cvig_XP_022286289.1	ko05012
Cvig_XP_022286289.1	ko05030
Cvig_XP_022286289.1	ko05031
Cvig_XP_022286289.1	ko05032
Cvig_XP_022286289.1	ko05034
Cvig_XP_022286289.1	map04020
Cvig_XP_022286289.1	map04022
Cvig_XP_022286289.1	map04024
Cvig_XP_022286289.1	map04080
Cvig_XP_022286289.1	map04261
Cvig_XP_022286289.1	map04540
Cvig_XP_022286289.1	map04726
Cvig_XP_022286289.1	map04728
Cvig_XP_022286289.1	map04923
Cvig_XP_022286289.1	map04924
Cvig_XP_022286289.1	map04970
Cvig_XP_022286289.1	map05012
Cvig_XP_022286289.1	map05030
Cvig_XP_022286289.1	map05031
Cvig_XP_022286289.1	map05032
Cvig_XP_022286289.1	map05034
Cvig_XP_022286290.1	ko04974
Cvig_XP_022286290.1	map04974
Cvig_XP_022286292.1	ko00280
Cvig_XP_022286292.1	map00280
Cvig_XP_022286294.1	ko03013
Cvig_XP_022286294.1	map03013
Cvig_XP_022286296.1	ko04145
Cvig_XP_022286296.1	ko05152
Cvig_XP_022286296.1	ko05162
Cvig_XP_022286296.1	map04145
Cvig_XP_022286296.1	map05152
Cvig_XP_022286296.1	map05162
Cvig_XP_022286297.1	ko00330
Cvig_XP_022286297.1	ko00480
Cvig_XP_022286297.1	ko01100
Cvig_XP_022286297.1	map00330
Cvig_XP_022286297.1	map00480
Cvig_XP_022286297.1	map01100
Cvig_XP_022286300.1	ko00440
Cvig_XP_022286300.1	ko01100
Cvig_XP_022286300.1	ko01120
Cvig_XP_022286300.1	ko01130
Cvig_XP_022286300.1	map00440
Cvig_XP_022286300.1	map01100
Cvig_XP_022286300.1	map01120
Cvig_XP_022286300.1	map01130
Cvig_XP_022286302.1	ko03013
Cvig_XP_022286302.1	map03013
Cvig_XP_022286303.1	ko03460
Cvig_XP_022286303.1	ko04330
Cvig_XP_022286303.1	ko04950
Cvig_XP_022286303.1	ko05165
Cvig_XP_022286303.1	ko05200
Cvig_XP_022286303.1	ko05224
Cvig_XP_022286303.1	map03460
Cvig_XP_022286303.1	map04330
Cvig_XP_022286303.1	map04950
Cvig_XP_022286303.1	map05165
Cvig_XP_022286303.1	map05200
Cvig_XP_022286303.1	map05224
Cvig_XP_022286350.1	ko05231
Cvig_XP_022286350.1	map05231
Cvig_XP_022286359.1	ko00564
Cvig_XP_022286359.1	ko04216
Cvig_XP_022286359.1	map00564
Cvig_XP_022286359.1	map04216
Cvig_XP_022286360.1	ko04130
Cvig_XP_022286360.1	ko04145
Cvig_XP_022286360.1	map04130
Cvig_XP_022286360.1	map04145
Cvig_XP_022286362.1	ko04130
Cvig_XP_022286362.1	ko04145
Cvig_XP_022286362.1	map04130
Cvig_XP_022286362.1	map04145
Cvig_XP_022286372.1	ko04024
Cvig_XP_022286372.1	ko04080
Cvig_XP_022286372.1	ko04726
Cvig_XP_022286372.1	ko04742
Cvig_XP_022286372.1	map04024
Cvig_XP_022286372.1	map04080
Cvig_XP_022286372.1	map04726
Cvig_XP_022286372.1	map04742
Cvig_XP_022286386.1	ko03013
Cvig_XP_022286386.1	map03013
Cvig_XP_022286388.1	ko03013
Cvig_XP_022286388.1	map03013
Cvig_XP_022286389.1	ko00230
Cvig_XP_022286389.1	ko00730
Cvig_XP_022286389.1	ko01100
Cvig_XP_022286389.1	ko01110
Cvig_XP_022286389.1	ko01130
Cvig_XP_022286389.1	map00230
Cvig_XP_022286389.1	map00730
Cvig_XP_022286389.1	map01100
Cvig_XP_022286389.1	map01110
Cvig_XP_022286389.1	map01130
Cvig_XP_022286391.1	ko04218
Cvig_XP_022286391.1	map04218
Cvig_XP_022286416.1	ko00230
Cvig_XP_022286416.1	ko00240
Cvig_XP_022286416.1	ko04742
Cvig_XP_022286416.1	ko05169
Cvig_XP_022286416.1	map00230
Cvig_XP_022286416.1	map00240
Cvig_XP_022286416.1	map04742
Cvig_XP_022286416.1	map05169
Cvig_XP_022286417.1	ko00230
Cvig_XP_022286417.1	ko00240
Cvig_XP_022286417.1	ko04742
Cvig_XP_022286417.1	ko05169
Cvig_XP_022286417.1	map00230
Cvig_XP_022286417.1	map00240
Cvig_XP_022286417.1	map04742
Cvig_XP_022286417.1	map05169
Cvig_XP_022286442.1	ko00051
Cvig_XP_022286442.1	ko00520
Cvig_XP_022286442.1	ko01100
Cvig_XP_022286442.1	map00051
Cvig_XP_022286442.1	map00520
Cvig_XP_022286442.1	map01100
Cvig_XP_022286464.1	ko00100
Cvig_XP_022286464.1	ko00140
Cvig_XP_022286464.1	ko00590
Cvig_XP_022286464.1	ko00591
Cvig_XP_022286464.1	ko01100
Cvig_XP_022286464.1	ko04212
Cvig_XP_022286464.1	ko04726
Cvig_XP_022286464.1	ko04750
Cvig_XP_022286464.1	ko04913
Cvig_XP_022286464.1	map00100
Cvig_XP_022286464.1	map00140
Cvig_XP_022286464.1	map00590
Cvig_XP_022286464.1	map00591
Cvig_XP_022286464.1	map01100
Cvig_XP_022286464.1	map04212
Cvig_XP_022286464.1	map04726
Cvig_XP_022286464.1	map04750
Cvig_XP_022286464.1	map04913
Cvig_XP_022286480.1	ko04390
Cvig_XP_022286480.1	ko04391
Cvig_XP_022286480.1	ko04530
Cvig_XP_022286480.1	ko04660
Cvig_XP_022286480.1	ko04724
Cvig_XP_022286480.1	ko05016
Cvig_XP_022286480.1	ko05030
Cvig_XP_022286480.1	ko05165
Cvig_XP_022286480.1	ko05166
Cvig_XP_022286480.1	ko05203
Cvig_XP_022286480.1	map04390
Cvig_XP_022286480.1	map04391
Cvig_XP_022286480.1	map04530
Cvig_XP_022286480.1	map04660
Cvig_XP_022286480.1	map04724
Cvig_XP_022286480.1	map05016
Cvig_XP_022286480.1	map05030
Cvig_XP_022286480.1	map05165
Cvig_XP_022286480.1	map05166
Cvig_XP_022286480.1	map05203
Cvig_XP_022286481.1	ko04390
Cvig_XP_022286481.1	ko04391
Cvig_XP_022286481.1	ko04530
Cvig_XP_022286481.1	ko04660
Cvig_XP_022286481.1	ko04724
Cvig_XP_022286481.1	ko05016
Cvig_XP_022286481.1	ko05030
Cvig_XP_022286481.1	ko05165
Cvig_XP_022286481.1	ko05166
Cvig_XP_022286481.1	ko05203
Cvig_XP_022286481.1	map04390
Cvig_XP_022286481.1	map04391
Cvig_XP_022286481.1	map04530
Cvig_XP_022286481.1	map04660
Cvig_XP_022286481.1	map04724
Cvig_XP_022286481.1	map05016
Cvig_XP_022286481.1	map05030
Cvig_XP_022286481.1	map05165
Cvig_XP_022286481.1	map05166
Cvig_XP_022286481.1	map05203
Cvig_XP_022286482.1	ko04390
Cvig_XP_022286482.1	ko04391
Cvig_XP_022286482.1	ko04530
Cvig_XP_022286482.1	ko04660
Cvig_XP_022286482.1	ko04724
Cvig_XP_022286482.1	ko05016
Cvig_XP_022286482.1	ko05030
Cvig_XP_022286482.1	ko05165
Cvig_XP_022286482.1	ko05166
Cvig_XP_022286482.1	ko05203
Cvig_XP_022286482.1	map04390
Cvig_XP_022286482.1	map04391
Cvig_XP_022286482.1	map04530
Cvig_XP_022286482.1	map04660
Cvig_XP_022286482.1	map04724
Cvig_XP_022286482.1	map05016
Cvig_XP_022286482.1	map05030
Cvig_XP_022286482.1	map05165
Cvig_XP_022286482.1	map05166
Cvig_XP_022286482.1	map05203
Cvig_XP_022286484.1	ko04390
Cvig_XP_022286484.1	ko04391
Cvig_XP_022286484.1	ko04530
Cvig_XP_022286484.1	ko04660
Cvig_XP_022286484.1	ko04724
Cvig_XP_022286484.1	ko05016
Cvig_XP_022286484.1	ko05030
Cvig_XP_022286484.1	ko05165
Cvig_XP_022286484.1	ko05166
Cvig_XP_022286484.1	ko05203
Cvig_XP_022286484.1	map04390
Cvig_XP_022286484.1	map04391
Cvig_XP_022286484.1	map04530
Cvig_XP_022286484.1	map04660
Cvig_XP_022286484.1	map04724
Cvig_XP_022286484.1	map05016
Cvig_XP_022286484.1	map05030
Cvig_XP_022286484.1	map05165
Cvig_XP_022286484.1	map05166
Cvig_XP_022286484.1	map05203
Cvig_XP_022286496.1	ko00230
Cvig_XP_022286496.1	ko00240
Cvig_XP_022286496.1	ko00760
Cvig_XP_022286496.1	ko01100
Cvig_XP_022286496.1	ko01110
Cvig_XP_022286496.1	map00230
Cvig_XP_022286496.1	map00240
Cvig_XP_022286496.1	map00760
Cvig_XP_022286496.1	map01100
Cvig_XP_022286496.1	map01110
Cvig_XP_022286497.1	ko00230
Cvig_XP_022286497.1	ko00240
Cvig_XP_022286497.1	ko00760
Cvig_XP_022286497.1	ko01100
Cvig_XP_022286497.1	ko01110
Cvig_XP_022286497.1	map00230
Cvig_XP_022286497.1	map00240
Cvig_XP_022286497.1	map00760
Cvig_XP_022286497.1	map01100
Cvig_XP_022286497.1	map01110
Cvig_XP_022286516.1	ko04390
Cvig_XP_022286516.1	ko04550
Cvig_XP_022286516.1	map04390
Cvig_XP_022286516.1	map04550
Cvig_XP_022286519.1	ko00230
Cvig_XP_022286519.1	ko00670
Cvig_XP_022286519.1	ko01100
Cvig_XP_022286519.1	ko01110
Cvig_XP_022286519.1	ko01130
Cvig_XP_022286519.1	ko01523
Cvig_XP_022286519.1	map00230
Cvig_XP_022286519.1	map00670
Cvig_XP_022286519.1	map01100
Cvig_XP_022286519.1	map01110
Cvig_XP_022286519.1	map01130
Cvig_XP_022286519.1	map01523
Cvig_XP_022286545.1	ko03013
Cvig_XP_022286545.1	map03013
Cvig_XP_022286576.1	ko03410
Cvig_XP_022286576.1	map03410
Cvig_XP_022286584.1	ko00564
Cvig_XP_022286584.1	ko01100
Cvig_XP_022286584.1	ko05231
Cvig_XP_022286584.1	map00564
Cvig_XP_022286584.1	map01100
Cvig_XP_022286584.1	map05231
Cvig_XP_022286590.1	ko04610
Cvig_XP_022286590.1	ko05133
Cvig_XP_022286590.1	map04610
Cvig_XP_022286590.1	map05133
Cvig_XP_022286591.1	ko00564
Cvig_XP_022286591.1	ko01100
Cvig_XP_022286591.1	ko05231
Cvig_XP_022286591.1	map00564
Cvig_XP_022286591.1	map01100
Cvig_XP_022286591.1	map05231
Cvig_XP_022286601.1	ko03050
Cvig_XP_022286601.1	ko05169
Cvig_XP_022286601.1	map03050
Cvig_XP_022286601.1	map05169
Cvig_XP_022286615.1	ko03440
Cvig_XP_022286615.1	ko04621
Cvig_XP_022286615.1	map03440
Cvig_XP_022286615.1	map04621
Cvig_XP_022286643.1	ko03013
Cvig_XP_022286643.1	map03013
Cvig_XP_022286669.1	ko04390
Cvig_XP_022286669.1	ko04391
Cvig_XP_022286669.1	ko04392
