Spis_XP_022795880_1	NFAT 	RHD_DNA_bind/RHD_dimer/
Spis_XP_022804824_1	BAG_cochaperone_5	BAG/
Spis_XP_022793052_1	ubiquitin_conjugating_enzyme_E2_W	UQ_con/
Spis_XP_022779143_1	probable E3 ubiquitin-protein ligase RNF144A-B	-
Spis_XP_022781957_1	cathepsin_D	A1_Propeptide/Asp/
Spis_XP_022795065_1	cathepsin_B	Peptidase_C1/
Spis_XP_022802777_1	cathepsin_B	Peptidase_C1/
Spis_XP_022807074_1	cathepsin_L	Inhibitor_I29/Peptidase_C1/
Spis_XP_022780695_1	STING	TMEM173/
Spis_XP_022796607_1	Antiviral innate immune response receptor RIG-I	CARD_2/ResIII/RIG-I_C/Helicase_C/RIG-I_C-RD/
Spis_XP_022795721_1	dedicator_of_cytokinesis_1	DOCK_N/DOCK-C2/DHR-2/
Spis_XP_022782257_1	ribosomal_protein_S6_kinase_A5	Pkinase/Pkinase_C/Pkinase/
Spis_XP_022785667_1	PRAS/	PRAS/
Spis_XP_022809869_1	guanylate_binding_protein_7	GBP_C/
Spis_XP_022796517_1	RAB43_member_RAS_oncogene_family	Ras/
Spis_XP_022800688_1	DNA_damage_regulated_autophagy_modulator_1	Frag1/
Spis_XP_022785719_1	BCL2_associated_X_apoptosis_regulator	Bcl-2/
Spis_XP_022786491_1	BCL2_like_2	BH4/Bcl-2/
Spis_XP_022808070_1	caspase_3	Peptidase_C14/
Spis_XP_022781683_1	caspase_recruitment_domain_family_member_11	CARD/
Spis_XP_022802904_1	major_vault_protein	Vault_2/Vault/Vault/Vault/Vault_2/Vault/Vault_4/Vault_3/MVP_shoulder/
Spis_XP_022794272_1	major_vault_protein	Vault_2/Vault/Vault/Vault/Vault_2/Vault/Vault_4/Vault_3/MVP_shoulder/
Spis24340_1	tetratricopeptide_repeat_domain_28	TPR_7/TPR_12/TPR_7/TPR_12/TPR_12/TPR_12/TPR_8/TPR_12/TPR_12/TPR_12/CHAT/
Spis_XP_022784317_1	tetratricopeptide_repeat_domain_28	TPR_12/TPR_7/TPR_12/TPR_7/TPR_12/TPR_8/CHAT/
Spis_XP_022780513_1	SV2_related_protein	Sugar_tr/MFS_1/
Spis_XP_022778077_1	platelet glycoprotein V-like	LRR_8/LRR_1/LRR_8/
Spis_XP_022791426_1	tetratricopeptide_repeat_domain_28	TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/CHAT/
Spis_XP_022787469_1	tetratricopeptide_repeat_domain_28	TPR_7/TPR_12/TPR_12/TPR_12/CHAT/
