group	GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology	label	go_id	gene_num
up	GO:0061578	Lys63-specific deubiquitinase activity	18	2	0.29	0.03272	1	MF	GO:0061578 | Lys63-specific deubiquitinase activity	GO:0061578	2
up	GO:0097367	carbohydrate derivative binding	696	14	11.11	0.21913	1	MF	GO:0097367 | carbohydrate derivative binding	GO:0097367	14
up	GO:0001968	fibronectin binding	65	0	1.04	1	1	MF	GO:0001968 | fibronectin binding	GO:0001968	0
up	GO:0090482	vitamin transmembrane transporter activi...	35	0	0.56	1	1	MF	GO:0090482 | vitamin transmembrane transporter activi...	GO:0090482	0
up	GO:0033256	I-kappaB/NF-kappaB complex	3	3	0.04	2.7e-06	0.0049221	CC	GO:0033256 | I-kappaB/NF-kappaB complex	GO:0033256	3
up	GO:0035631	CD40 receptor complex	27	4	0.38	0.00051	0.1321675	CC	GO:0035631 | CD40 receptor complex	GO:0035631	4
up	GO:0009898	cytoplasmic side of plasma membrane	152	6	2.14	0.02018	1	CC	GO:0009898 | cytoplasmic side of plasma membrane	GO:0009898	6
up	GO:0098562	cytoplasmic side of membrane	175	6	2.46	0.03681	1	CC	GO:0098562 | cytoplasmic side of membrane	GO:0098562	6
up	GO:0005614	interstitial matrix	56	0	0.79	1	1	CC	GO:0005614 | interstitial matrix	GO:0005614	0
up	GO:0002831	regulation of response to biotic stimulu...	391	35	5.83	2.8e-18	4.14456e-14	BP	GO:0002831 | regulation of response to biotic stimulu...	GO:0002831	35
up	GO:0031347	regulation of defense response	482	38	7.19	5.9e-18	4.36659e-14	BP	GO:0031347 | regulation of defense response	GO:0031347	38
up	GO:0098542	defense response to other organism	677	44	10.1	1.3e-17	6.4142e-14	BP	GO:0098542 | defense response to other organism	GO:0098542	44
up	GO:0006952	defense response	915	50	13.65	5.7e-17	2.109285e-13	BP	GO:0006952 | defense response	GO:0006952	50
up	GO:0045088	regulation of innate immune response	311	30	4.64	1.3e-16	3.84852e-13	BP	GO:0045088 | regulation of innate immune response	GO:0045088	30
up	GO:0045087	innate immune response	484	35	7.22	2.3e-15	5.6741e-12	BP	GO:0045087 | innate immune response	GO:0045087	35
up	GO:0002218	activation of innate immune response	119	18	1.77	1.2e-13	2.53748571428571e-10	BP	GO:0002218 | activation of innate immune response	GO:0002218	18
up	GO:0043207	response to external biotic stimulus	923	45	13.76	2.3e-13	3.78273333333333e-10	BP	GO:0043207 | response to external biotic stimulus	GO:0043207	45
up	GO:0051707	response to other organism	923	45	13.76	2.3e-13	3.78273333333333e-10	BP	GO:0051707 | response to other organism	GO:0051707	45
up	GO:0009607	response to biotic stimulus	945	45	14.09	5.4e-13	7.99308e-10	BP	GO:0009607 | response to biotic stimulus	GO:0009607	45
up	GO:0032101	regulation of response to external stimu...	814	41	12.14	1.3e-12	1.74932727272727e-09	BP	GO:0032101 | regulation of response to external stimu...	GO:0032101	41
up	GO:0050776	regulation of immune response	521	32	7.77	4e-12	4.78218461538462e-09	BP	GO:0050776 | regulation of immune response	GO:0050776	32
up	GO:0080134	regulation of response to stress	1043	46	15.55	4.2e-12	4.78218461538462e-09	BP	GO:0080134 | regulation of response to stress	GO:0080134	46
up	GO:0044419	biological process involved in interspec...	1108	47	16.52	9.1e-12	9.6213e-09	BP	GO:0044419 | biological process involved in interspec...	GO:0044419	47
up	GO:0043331	response to dsRNA	73	13	1.09	4.2e-11	4.14456e-08	BP	GO:0043331 | response to dsRNA	GO:0043331	13
up	GO:0002697	regulation of immune effector process	244	21	3.64	6.9e-11	6.3833625e-08	BP	GO:0002697 | regulation of immune effector process	GO:0002697	21
up	GO:1902216	positive regulation of interleukin-4-med...	18	8	0.27	7.8e-11	6.79150588235294e-08	BP	GO:1902216 | positive regulation of interleukin-4-med...	GO:1902216	8
up	GO:0035771	interleukin-4-mediated signaling pathway	19	8	0.28	1.3e-10	1.01276842105263e-07	BP	GO:0035771 | interleukin-4-mediated signaling pathway	GO:0035771	8
up	GO:1902214	regulation of interleukin-4-mediated sig...	19	8	0.28	1.3e-10	1.01276842105263e-07	BP	GO:1902214 | regulation of interleukin-4-mediated sig...	GO:1902214	8
up	GO:0060331	negative regulation of response to inter...	20	8	0.3	2.2e-10	1.55068571428571e-07	BP	GO:0060331 | negative regulation of response to inter...	GO:0060331	8
up	GO:0060336	negative regulation of interferon-gamma-...	20	8	0.3	2.2e-10	1.55068571428571e-07	BP	GO:0060336 | negative regulation of interferon-gamma-...	GO:0060336	8
up	GO:0002682	regulation of immune system process	849	38	12.66	3.7e-10	2.281975e-07	BP	GO:0002682 | regulation of immune system process	GO:0002682	38
up	GO:0002833	positive regulation of response to bioti...	246	20	3.67	5.6e-10	3.18812307692308e-07	BP	GO:0002833 | positive regulation of response to bioti...	GO:0002833	20
up	GO:0045089	positive regulation of innate immune res...	223	19	3.33	7.1e-10	3.72602068965517e-07	BP	GO:0045089 | positive regulation of innate immune res...	GO:0045089	19
up	GO:0031349	positive regulation of defense response	277	21	4.13	7.3e-10	3.72602068965517e-07	BP	GO:0031349 | positive regulation of defense response	GO:0031349	21
up	GO:0001817	regulation of cytokine production	322	19	4.8	2.8e-07	5.31353846153846e-05	BP	GO:0001817 | regulation of cytokine production	GO:0001817	19
up	GO:0002758	innate immune response-activating signal...	91	10	1.36	9.1e-07	0.000149664666666667	BP	GO:0002758 | innate immune response-activating signal...	GO:0002758	10
up	GO:0033209	tumor necrosis factor-mediated signaling...	46	7	0.69	4.7e-06	0.00068880594059406	BP	GO:0033209 | tumor necrosis factor-mediated signaling...	GO:0033209	7
down	GO:0090482	vitamin transmembrane transporter activi...	35	7	0.37	5.9e-08	0.000213816	MF	GO:0090482 | vitamin transmembrane transporter activi...	GO:0090482	7
down	GO:0097367	carbohydrate derivative binding	696	3	7.32	0.981	1	MF	GO:0097367 | carbohydrate derivative binding	GO:0097367	3
down	GO:0001968	fibronectin binding	65	0	0.68	1	1	MF	GO:0001968 | fibronectin binding	GO:0001968	0
down	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	0	0.31	1	1	MF	GO:0003950 | NAD+ ADP-ribosyltransferase activity	GO:0003950	0
down	GO:0004842	ubiquitin-protein transferase activity	331	0	3.48	1	1	MF	GO:0004842 | ubiquitin-protein transferase activity	GO:0004842	0
down	GO:0005042	netrin receptor activity	12	0	0.13	1	1	MF	GO:0005042 | netrin receptor activity	GO:0005042	0
down	GO:0005043	netrin receptor activity involved in che...	8	0	0.08	1	1	MF	GO:0005043 | netrin receptor activity involved in che...	GO:0005043	0
down	GO:0016763	pentosyltransferase activity	53	0	0.56	1	1	MF	GO:0016763 | pentosyltransferase activity	GO:0016763	0
down	GO:0019787	ubiquitin-like protein transferase activ...	344	0	3.62	1	1	MF	GO:0019787 | ubiquitin-like protein transferase activ...	GO:0019787	0
down	GO:0030551	cyclic nucleotide binding	28	0	0.29	1	1	MF	GO:0030551 | cyclic nucleotide binding	GO:0030551	0
down	GO:0031625	ubiquitin protein ligase binding	272	0	2.86	1	1	MF	GO:0031625 | ubiquitin protein ligase binding	GO:0031625	0
down	GO:0035438	cyclic-di-GMP binding	11	0	0.12	1	1	MF	GO:0035438 | cyclic-di-GMP binding	GO:0035438	0
down	GO:0044389	ubiquitin-like protein ligase binding	283	0	2.98	1	1	MF	GO:0044389 | ubiquitin-like protein ligase binding	GO:0044389	0
down	GO:0051287	NAD binding	43	0	0.45	1	1	MF	GO:0051287 | NAD binding	GO:0051287	0
down	GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	0	0.19	1	1	MF	GO:0061501 | 2',3'-cyclic GMP-AMP synthase activity	GO:0061501	0
down	GO:0061507	2',3'-cyclic GMP-AMP binding	9	0	0.09	1	1	MF	GO:0061507 | 2',3'-cyclic GMP-AMP binding	GO:0061507	0
down	GO:0061578	Lys63-specific deubiquitinase activity	18	0	0.19	1	1	MF	GO:0061578 | Lys63-specific deubiquitinase activity	GO:0061578	0
down	GO:0070403	NAD+ binding	24	0	0.25	1	1	MF	GO:0070403 | NAD+ binding	GO:0070403	0
down	GO:0140699	cyclic GMP-AMP synthase activity	18	0	0.19	1	1	MF	GO:0140699 | cyclic GMP-AMP synthase activity	GO:0140699	0
down	GO:0005614	interstitial matrix	56	0	0.62	1	1	CC	GO:0005614 | interstitial matrix	GO:0005614	0
down	GO:0009898	cytoplasmic side of plasma membrane	152	0	1.69	1	1	CC	GO:0009898 | cytoplasmic side of plasma membrane	GO:0009898	0
down	GO:0033256	I-kappaB/NF-kappaB complex	3	0	0.03	1	1	CC	GO:0033256 | I-kappaB/NF-kappaB complex	GO:0033256	0
down	GO:0035631	CD40 receptor complex	27	0	0.3	1	1	CC	GO:0035631 | CD40 receptor complex	GO:0035631	0
down	GO:0098562	cytoplasmic side of membrane	175	0	1.95	1	1	CC	GO:0098562 | cytoplasmic side of membrane	GO:0098562	0
down	GO:0044419	biological process involved in interspec...	1108	20	12.88	0.02962	1	BP	GO:0044419 | biological process involved in interspec...	GO:0044419	20
down	GO:0043207	response to external biotic stimulus	923	17	10.73	0.03743	1	BP	GO:0043207 | response to external biotic stimulus	GO:0043207	17
down	GO:0051707	response to other organism	923	17	10.73	0.03743	1	BP	GO:0051707 | response to other organism	GO:0051707	17
down	GO:0009607	response to biotic stimulus	945	17	10.98	0.04522	1	BP	GO:0009607 | response to biotic stimulus	GO:0009607	17
down	GO:0002682	regulation of immune system process	849	15	9.87	0.06635	1	BP	GO:0002682 | regulation of immune system process	GO:0002682	15
down	GO:0006952	defense response	915	12	10.63	0.3745	1	BP	GO:0006952 | defense response	GO:0006952	12
down	GO:0098542	defense response to other organism	677	9	7.87	0.38813	1	BP	GO:0098542 | defense response to other organism	GO:0098542	9
down	GO:0045087	innate immune response	484	6	5.63	0.49566	1	BP	GO:0045087 | innate immune response	GO:0045087	6
down	GO:0002697	regulation of immune effector process	244	3	2.84	0.54266	1	BP	GO:0002697 | regulation of immune effector process	GO:0002697	3
down	GO:0050776	regulation of immune response	521	6	6.06	0.56871	1	BP	GO:0050776 | regulation of immune response	GO:0050776	6
down	GO:0045089	positive regulation of innate immune res...	223	2	2.59	0.73637	1	BP	GO:0045089 | positive regulation of innate immune res...	GO:0045089	2
down	GO:0032101	regulation of response to external stimu...	814	8	9.46	0.73997	1	BP	GO:0032101 | regulation of response to external stimu...	GO:0032101	8
down	GO:0002833	positive regulation of response to bioti...	246	2	2.86	0.78443	1	BP	GO:0002833 | positive regulation of response to bioti...	GO:0002833	2
down	GO:0080134	regulation of response to stress	1043	10	12.12	0.78458	1	BP	GO:0080134 | regulation of response to stress	GO:0080134	10
down	GO:0031349	positive regulation of defense response	277	2	3.22	0.83705	1	BP	GO:0031349 | positive regulation of defense response	GO:0031349	2
down	GO:0002831	regulation of response to biotic stimulu...	391	3	4.54	0.83862	1	BP	GO:0002831 | regulation of response to biotic stimulu...	GO:0002831	3
down	GO:0045088	regulation of innate immune response	311	2	3.61	0.88128	1	BP	GO:0045088 | regulation of innate immune response	GO:0045088	2
down	GO:0001817	regulation of cytokine production	322	2	3.74	0.89305	1	BP	GO:0001817 | regulation of cytokine production	GO:0001817	2
down	GO:0031347	regulation of defense response	482	3	5.6	0.92409	1	BP	GO:0031347 | regulation of defense response	GO:0031347	3
down	GO:0002218	activation of innate immune response	119	0	1.38	1	1	BP	GO:0002218 | activation of innate immune response	GO:0002218	0
down	GO:0002758	innate immune response-activating signal...	91	0	1.06	1	1	BP	GO:0002758 | innate immune response-activating signal...	GO:0002758	0
down	GO:0033209	tumor necrosis factor-mediated signaling...	46	0	0.53	1	1	BP	GO:0033209 | tumor necrosis factor-mediated signaling...	GO:0033209	0
down	GO:0035771	interleukin-4-mediated signaling pathway	19	0	0.22	1	1	BP	GO:0035771 | interleukin-4-mediated signaling pathway	GO:0035771	0
down	GO:0043331	response to dsRNA	73	0	0.85	1	1	BP	GO:0043331 | response to dsRNA	GO:0043331	0
down	GO:0060331	negative regulation of response to inter...	20	0	0.23	1	1	BP	GO:0060331 | negative regulation of response to inter...	GO:0060331	0
down	GO:0060336	negative regulation of interferon-gamma-...	20	0	0.23	1	1	BP	GO:0060336 | negative regulation of interferon-gamma-...	GO:0060336	0
down	GO:1902214	regulation of interleukin-4-mediated sig...	19	0	0.22	1	1	BP	GO:1902214 | regulation of interleukin-4-mediated sig...	GO:1902214	0
down	GO:1902216	positive regulation of interleukin-4-med...	18	0	0.21	1	1	BP	GO:1902216 | positive regulation of interleukin-4-med...	GO:1902216	0
cgamp	GO:0005043	netrin receptor activity involved in che...	8	7	0.35	2.3e-09	8.3352e-06	MF	GO:0005043 | netrin receptor activity involved in che...	GO:0005043	7
cgamp	GO:0061507	2',3'-cyclic GMP-AMP binding	9	7	0.39	9.8e-09	1.77576e-05	MF	GO:0061507 | 2',3'-cyclic GMP-AMP binding	GO:0061507	7
cgamp	GO:0035438	cyclic-di-GMP binding	11	7	0.48	8.4e-08	0.000101472	MF	GO:0035438 | cyclic-di-GMP binding	GO:0035438	7
cgamp	GO:0005042	netrin receptor activity	12	7	0.53	1.9e-07	0.000159456	MF	GO:0005042 | netrin receptor activity	GO:0005042	7
cgamp	GO:0044389	ubiquitin-like protein ligase binding	283	33	12.41	2.2e-07	0.000159456	MF	GO:0044389 | ubiquitin-like protein ligase binding	GO:0044389	33
cgamp	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	9	1.27	2.5e-06	0.00134605714285714	MF	GO:0003950 | NAD+ ADP-ribosyltransferase activity	GO:0003950	9
cgamp	GO:0031625	ubiquitin protein ligase binding	272	30	11.93	2.6e-06	0.00134605714285714	MF	GO:0031625 | ubiquitin protein ligase binding	GO:0031625	30
cgamp	GO:0070403	NAD+ binding	24	8	1.05	5e-06	0.002265	MF	GO:0070403 | NAD+ binding	GO:0070403	8
cgamp	GO:0061578	Lys63-specific deubiquitinase activity	18	7	0.79	6.2e-06	0.00242808	MF	GO:0061578 | Lys63-specific deubiquitinase activity	GO:0061578	7
cgamp	GO:0019787	ubiquitin-like protein transferase activ...	344	34	15.08	6.7e-06	0.00242808	MF	GO:0019787 | ubiquitin-like protein transferase activ...	GO:0019787	34
cgamp	GO:0004842	ubiquitin-protein transferase activity	331	32	14.51	2e-05	0.00585415384615385	MF	GO:0004842 | ubiquitin-protein transferase activity	GO:0004842	32
cgamp	GO:0001968	fibronectin binding	65	12	2.85	2.1e-05	0.00585415384615385	MF	GO:0001968 | fibronectin binding	GO:0001968	12
cgamp	GO:0097367	carbohydrate derivative binding	696	54	30.52	2.1e-05	0.00585415384615385	MF	GO:0097367 | carbohydrate derivative binding	GO:0097367	54
cgamp	GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	6	0.79	8.1e-05	0.0160218947368421	MF	GO:0061501 | 2',3'-cyclic GMP-AMP synthase activity	GO:0061501	6
cgamp	GO:0140699	cyclic GMP-AMP synthase activity	18	6	0.79	8.1e-05	0.0160218947368421	MF	GO:0140699 | cyclic GMP-AMP synthase activity	GO:0140699	6
cgamp	GO:0051287	NAD binding	43	9	1.89	8.1e-05	0.0160218947368421	MF	GO:0051287 | NAD binding	GO:0051287	9
cgamp	GO:0016763	pentosyltransferase activity	53	10	2.32	8.4e-05	0.0160218947368421	MF	GO:0016763 | pentosyltransferase activity	GO:0016763	10
cgamp	GO:0030551	cyclic nucleotide binding	28	7	1.23	0.00016	0.0276114285714286	MF	GO:0030551 | cyclic nucleotide binding	GO:0030551	7
cgamp	GO:0090482	vitamin transmembrane transporter activi...	35	1	1.53	0.79249	1	MF	GO:0090482 | vitamin transmembrane transporter activi...	GO:0090482	1
cgamp	GO:0009898	cytoplasmic side of plasma membrane	152	21	6.27	1e-06	0.001823	CC	GO:0009898 | cytoplasmic side of plasma membrane	GO:0009898	21
cgamp	GO:0035631	CD40 receptor complex	27	8	1.11	8.7e-06	0.00607666666666667	CC	GO:0035631 | CD40 receptor complex	GO:0035631	8
cgamp	GO:0098562	cytoplasmic side of membrane	175	21	7.22	1e-05	0.00607666666666667	CC	GO:0098562 | cytoplasmic side of membrane	GO:0098562	21
cgamp	GO:0005614	interstitial matrix	56	11	2.31	1.4e-05	0.0063805	CC	GO:0005614 | interstitial matrix	GO:0005614	11
cgamp	GO:0033256	I-kappaB/NF-kappaB complex	3	3	0.12	7e-05	0.01823	CC	GO:0033256 | I-kappaB/NF-kappaB complex	GO:0033256	3
cgamp	GO:0031347	regulation of defense response	482	71	20.72	9.5e-21	1.40619e-16	BP	GO:0031347 | regulation of defense response	GO:0031347	71
cgamp	GO:0002831	regulation of response to biotic stimulu...	391	62	16.81	8.4e-20	6.21684e-16	BP	GO:0002831 | regulation of response to biotic stimulu...	GO:0002831	62
cgamp	GO:0002218	activation of innate immune response	119	34	5.12	2.2e-19	1.08548e-15	BP	GO:0002218 | activation of innate immune response	GO:0002218	34
cgamp	GO:0045088	regulation of innate immune response	311	52	13.37	1e-17	3.7005e-14	BP	GO:0045088 | regulation of innate immune response	GO:0045088	52
cgamp	GO:0006952	defense response	915	93	39.34	7.6e-16	2.249904e-12	BP	GO:0006952 | defense response	GO:0006952	93
cgamp	GO:0032101	regulation of response to external stimu...	814	86	34.99	1.2e-15	2.9604e-12	BP	GO:0032101 | regulation of response to external stimu...	GO:0032101	86
cgamp	GO:0098542	defense response to other organism	677	76	29.1	3e-15	6.34371428571429e-12	BP	GO:0098542 | defense response to other organism	GO:0098542	76
cgamp	GO:0050776	regulation of immune response	521	64	22.4	9.7e-15	1.7947425e-11	BP	GO:0050776 | regulation of immune response	GO:0050776	64
cgamp	GO:0031349	positive regulation of defense response	277	44	11.91	2.7e-14	4.4406e-11	BP	GO:0031349 | positive regulation of defense response	GO:0031349	44
cgamp	GO:0045087	innate immune response	484	60	20.81	4.9e-14	6.59361818181818e-11	BP	GO:0045087 | innate immune response	GO:0045087	60
cgamp	GO:0080134	regulation of response to stress	1043	97	44.84	4.9e-14	6.59361818181818e-11	BP	GO:0080134 | regulation of response to stress	GO:0080134	97
cgamp	GO:0033209	tumor necrosis factor-mediated signaling...	46	18	1.98	1.6e-13	1.9736e-10	BP	GO:0033209 | tumor necrosis factor-mediated signaling...	GO:0033209	18
cgamp	GO:0002758	innate immune response-activating signal...	91	24	3.91	3.5e-13	3.80622857142857e-10	BP	GO:0002758 | innate immune response-activating signal...	GO:0002758	24
cgamp	GO:0002682	regulation of immune system process	849	83	36.5	3.6e-13	3.80622857142857e-10	BP	GO:0002682 | regulation of immune system process	GO:0002682	83
cgamp	GO:0043207	response to external biotic stimulus	923	87	39.68	6.7e-13	6.1983375e-10	BP	GO:0043207 | response to external biotic stimulus	GO:0043207	87
cgamp	GO:0051707	response to other organism	923	87	39.68	6.7e-13	6.1983375e-10	BP	GO:0051707 | response to other organism	GO:0051707	87
cgamp	GO:0009607	response to biotic stimulus	945	87	40.63	2.5e-12	2.17676470588235e-09	BP	GO:0009607 | response to biotic stimulus	GO:0009607	87
cgamp	GO:0002833	positive regulation of response to bioti...	246	38	10.58	4.2e-12	3.34992631578947e-09	BP	GO:0002833 | positive regulation of response to bioti...	GO:0002833	38
cgamp	GO:0045089	positive regulation of innate immune res...	223	36	9.59	4.3e-12	3.34992631578947e-09	BP	GO:0045089 | positive regulation of innate immune res...	GO:0045089	36
cgamp	GO:0001817	regulation of cytokine production	322	44	13.84	5.9e-12	4.36659e-09	BP	GO:0001817 | regulation of cytokine production	GO:0001817	44
cgamp	GO:0002697	regulation of immune effector process	244	37	10.49	1.4e-11	9.00991304347826e-09	BP	GO:0002697 | regulation of immune effector process	GO:0002697	37
cgamp	GO:0044419	biological process involved in interspec...	1108	94	47.63	3.1e-11	1.58228275862069e-08	BP	GO:0044419 | biological process involved in interspec...	GO:0044419	94
cgamp	GO:0043331	response to dsRNA	73	17	3.14	8.1e-09	2.66436e-06	BP	GO:0043331 | response to dsRNA	GO:0043331	17
cgamp	GO:1902216	positive regulation of interleukin-4-med...	18	8	0.77	3.3e-07	6.34371428571429e-05	BP	GO:1902216 | positive regulation of interleukin-4-med...	GO:1902216	8
cgamp	GO:0035771	interleukin-4-mediated signaling pathway	19	8	0.82	5.4e-07	9.29427906976744e-05	BP	GO:0035771 | interleukin-4-mediated signaling pathway	GO:0035771	8
cgamp	GO:1902214	regulation of interleukin-4-mediated sig...	19	8	0.82	5.4e-07	9.29427906976744e-05	BP	GO:1902214 | regulation of interleukin-4-mediated sig...	GO:1902214	8
cgamp	GO:0060331	negative regulation of response to inter...	20	8	0.86	8.7e-07	0.000136997234042553	BP	GO:0060331 | negative regulation of response to inter...	GO:0060331	8
cgamp	GO:0060336	negative regulation of interferon-gamma-...	20	8	0.86	8.7e-07	0.000136997234042553	BP	GO:0060336 | negative regulation of interferon-gamma-...	GO:0060336	8
capup	GO:0005043	netrin receptor activity involved in che...	8	6	0.14	8e-10	2.8992e-06	MF	GO:0005043 | netrin receptor activity involved in che...	GO:0005043	6
capup	GO:0061507	2',3'-cyclic GMP-AMP binding	9	6	0.16	2.4e-09	4.3488e-06	MF	GO:0061507 | 2',3'-cyclic GMP-AMP binding	GO:0061507	6
capup	GO:0070403	NAD+ binding	24	8	0.43	4.9e-09	5.9192e-06	MF	GO:0070403 | NAD+ binding	GO:0070403	8
capup	GO:0035438	cyclic-di-GMP binding	11	6	0.2	1.3e-08	1.1778e-05	MF	GO:0035438 | cyclic-di-GMP binding	GO:0035438	6
capup	GO:0005042	netrin receptor activity	12	6	0.21	2.5e-08	1.6308e-05	MF	GO:0005042 | netrin receptor activity	GO:0005042	6
capup	GO:0003950	NAD+ ADP-ribosyltransferase activity	29	8	0.52	2.7e-08	1.6308e-05	MF	GO:0003950 | NAD+ ADP-ribosyltransferase activity	GO:0003950	8
capup	GO:0051287	NAD binding	43	8	0.77	7.3e-07	0.000377931428571429	MF	GO:0051287 | NAD binding	GO:0051287	8
capup	GO:0004842	ubiquitin-protein transferase activity	331	20	5.91	1.6e-06	0.0007248	MF	GO:0004842 | ubiquitin-protein transferase activity	GO:0004842	20
capup	GO:0019787	ubiquitin-like protein transferase activ...	344	20	6.14	2.8e-06	0.00112746666666667	MF	GO:0019787 | ubiquitin-like protein transferase activ...	GO:0019787	20
capup	GO:0016763	pentosyltransferase activity	53	8	0.95	3.8e-06	0.00137712	MF	GO:0016763 | pentosyltransferase activity	GO:0016763	8
capup	GO:0030551	cyclic nucleotide binding	28	6	0.5	8e-06	0.00263563636363636	MF	GO:0030551 | cyclic nucleotide binding	GO:0030551	6
capup	GO:0061501	2',3'-cyclic GMP-AMP synthase activity	18	5	0.32	1.2e-05	0.00334523076923077	MF	GO:0061501 | 2',3'-cyclic GMP-AMP synthase activity	GO:0061501	5
capup	GO:0140699	cyclic GMP-AMP synthase activity	18	5	0.32	1.2e-05	0.00334523076923077	MF	GO:0140699 | cyclic GMP-AMP synthase activity	GO:0140699	5
capup	GO:0044389	ubiquitin-like protein ligase binding	283	16	5.05	4.2e-05	0.010872	MF	GO:0044389 | ubiquitin-like protein ligase binding	GO:0044389	16
capup	GO:0031625	ubiquitin protein ligase binding	272	15	4.85	9.8e-05	0.0221466666666667	MF	GO:0031625 | ubiquitin protein ligase binding	GO:0031625	15
capup	GO:0061578	Lys63-specific deubiquitinase activity	18	2	0.32	0.04016	1	MF	GO:0061578 | Lys63-specific deubiquitinase activity	GO:0061578	2
capup	GO:0097367	carbohydrate derivative binding	696	14	12.42	0.3601	1	MF	GO:0097367 | carbohydrate derivative binding	GO:0097367	14
capup	GO:0001968	fibronectin binding	65	0	1.16	1	1	MF	GO:0001968 | fibronectin binding	GO:0001968	0
capup	GO:0090482	vitamin transmembrane transporter activi...	35	0	0.62	1	1	MF	GO:0090482 | vitamin transmembrane transporter activi...	GO:0090482	0
capup	GO:0033256	I-kappaB/NF-kappaB complex	3	3	0.05	4e-06	0.007292	CC	GO:0033256 | I-kappaB/NF-kappaB complex	GO:0033256	3
capup	GO:0035631	CD40 receptor complex	27	4	0.43	0.00082	0.135896363636364	CC	GO:0035631 | CD40 receptor complex	GO:0035631	4
capup	GO:0009898	cytoplasmic side of plasma membrane	152	6	2.42	0.03463	1	CC	GO:0009898 | cytoplasmic side of plasma membrane	GO:0009898	6
capup	GO:0098562	cytoplasmic side of membrane	175	6	2.79	0.06104	1	CC	GO:0098562 | cytoplasmic side of membrane	GO:0098562	6
capup	GO:0005614	interstitial matrix	56	0	0.89	1	1	CC	GO:0005614 | interstitial matrix	GO:0005614	0
capup	GO:0002831	regulation of response to biotic stimulu...	391	36	6.51	1.6e-17	2.36832e-13	BP	GO:0002831 | regulation of response to biotic stimulu...	GO:0002831	36
capup	GO:0098542	defense response to other organism	677	46	11.28	4.2e-17	2.51634e-13	BP	GO:0098542 | defense response to other organism	GO:0098542	46
capup	GO:0031347	regulation of defense response	482	39	8.03	5.1e-17	2.51634e-13	BP	GO:0031347 | regulation of defense response	GO:0031347	39
capup	GO:0045088	regulation of innate immune response	311	31	5.18	4.2e-16	1.272972e-12	BP	GO:0045088 | regulation of innate immune response	GO:0045088	31
capup	GO:0006952	defense response	915	52	15.25	4.3e-16	1.272972e-12	BP	GO:0006952 | defense response	GO:0006952	52
capup	GO:0045087	innate immune response	484	36	8.06	1.4e-14	3.4538e-11	BP	GO:0045087 | innate immune response	GO:0045087	36
