kegg.id	kegg.lab	p.geomean	stat.mean	p.val	q.val	set.size	exp1
ko04630	JAK-STAT signaling pathway	0.00237818847796201	2.88556944358532	0.00237818847796201	0.0178606906113156	58	0.00237818847796201
ko04212	Longevity regulating pathway - worm	0.00241976498926971	2.84773334708681	0.00241976498926971	0.0178606906113156	109	0.00241976498926971
ko00430	Taurine and hypotaurine metabolism	0.00244738326160884	3.06549657400275	0.00244738326160884	0.0178606906113156	22	0.00244738326160884
ko04658	Th1 and Th2 cell differentiation	0.00364482373930165	2.76584703312838	0.00364482373930165	0.0254208472502618	40	0.00364482373930165
ko04750	Inflammatory mediator regulation of TRP channels	0.00368342861159981	2.70028801925114	0.00368342861159981	0.0254208472502618	138	0.00368342861159981
ko00010	Glycolysis / Gluconeogenesis	0.00372969314817905	2.7214565447715	0.00372969314817905	0.0254208472502618	65	0.00372969314817905
ko04913	Ovarian steroidogenesis	0.00377977612175904	2.71698047661688	0.00377977612175904	0.0254208472502618	63	0.00377977612175904
ko04010	MAPK signaling pathway	0.003866065560126	2.67584310548317	0.00386606556012601	0.0255011632139081	230	0.003866065560126
ko04920	Adipocytokine signaling pathway	0.00403730557899416	2.69330582431158	0.00403730557899416	0.02609596535078	67	0.00403730557899416
ko04146	Peroxisome	0.00410840270828605	2.6630670200111	0.00410840270828606	0.02609596535078	136	0.00410840270828605
ko00330	Arginine and proline metabolism	0.00671411601566372	2.49932199824864	0.00671411601566372	0.0411073306199923	84	0.00671411601566372
ko03430	Mismatch repair	0.00684004994163722	2.55067866761044	0.00684004994163722	0.0411073306199923	29	0.00684004994163722
ko00650	Butanoate metabolism	0.0069243128349771	2.50938060682221	0.00692431283497709	0.0411073306199923	47	0.0069243128349771
ko04120	Ubiquitin mediated proteolysis	0.0070939117786865	2.46388131708186	0.0070939117786865	0.0411073306199923	196	0.0070939117786865
ko04659	Th17 cell differentiation	0.00713984160245326	2.48230186569262	0.00713984160245327	0.0411073306199923	72	0.00713984160245325
ko00630	Glyoxylate and dicarboxylate metabolism	0.00719078669737474	2.4893881634094	0.00719078669737475	0.0411073306199923	53	0.00719078669737474
ko04917	Prolactin signaling pathway	0.00755035406220032	2.46736977495381	0.00755035406220031	0.042455269562864	63	0.00755035406220032
ko04976	Bile secretion	0.00770379198154198	2.44634971509813	0.00770379198154198	0.0426193653172403	97	0.00770379198154198
ko00970	Aminoacyl-tRNA biosynthesis	0.00787490447477791	2.44896121773701	0.00787490447477792	0.0428744799182353	62	0.00787490447477791
ko04380	Osteoclast differentiation	0.00810978962769457	2.43062493914461	0.00810978962769457	0.0434634037859256	86	0.00810978962769456
ko05169	Epstein-Barr virus infection	0.00839375025038241	2.40322993284246	0.00839375025038242	0.0438576846870982	173	0.00839375025038241
ko04013	MAPK signaling pathway - fly	0.00843908801559325	2.40688608755341	0.00843908801559325	0.0438576846870982	118	0.00843908801559325
ko04964	Proximal tubule bicarbonate reclamation	0.00877625656391629	2.45757073489966	0.0087762565639163	0.0449291940510939	28	0.00877625656391629
ko01523	Antifolate resistance	0.00897023663368567	2.42689486610143	0.00897023663368569	0.0449743796400976	35	0.00897023663368567
ko04722	Neurotrophin signaling pathway	0.00910193494367876	2.37420060125634	0.00910193494367876	0.0449743796400976	154	0.00910193494367876
ko05120	Epithelial cell signaling in Helicobacter pylori infection	0.0091784448245097	2.3776607845589	0.00917844482450971	0.0449743796400976	102	0.0091784448245097
ko00250	Alanine, aspartate and glutamate metabolism	0.00973659889196674	2.372470651245	0.00973659889196675	0.0470373721118957	54	0.00973659889196673
